Site,AKA,Date,CO2_umoles/L_syringe,CH4_umoles/L_syringe
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, above culvert",2018-10-15,NA,NA
"Allequash Creek near Sayner, WI",Allequash upper site,2018-10-17,NA,NA
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, above culvert",2018-10-17,NA,NA
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2018-10-17,NA,NA
"Allequash Creek near Sayner, WI",Allequash upper site,2018-11-14,116.9,0.55
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2018-11-14,83.7,2.73
"Allequash Creek near Sayner, WI",Allequash upper site,2018-11-29,180.7,0.68
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2018-11-29,NA,2.11
"Allequash Creek near Sayner, WI",Allequash upper site,2019-02-13,153,3.84
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-02-13,141.4,2.86
"Allequash Creek near Sayner, WI",Allequash upper site,2019-03-20,147.9,2.34
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-03-20,99.2,1.74
"Allequash Creek near Sayner, WI",Allequash upper site,2019-03-29,131.6,2.51
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-03-29,127.5,2.79
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-02,117,1.67
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-02,135.2,3.37
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-08,140.5,2.63
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-08,145.3,2.75
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-10,90.8,1.27
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-10,114.2,2.73
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-16,92.5,0.96
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-16,120.2,2.72
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-18,90.5,0.69
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-18,90.7,1.4
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-23,86.1,0.47
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-23,107.8,1.95
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-26,104.1,0.53
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-26,124.7,2.4
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-30,82.1,0.51
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-30,78.7,2.47
"Allequash Creek near Sayner, WI",Allequash upper site,2019-05-03,74,0.48
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-05-03,91.5,2.44
"Allequash Creek near Sayner, WI",Allequash upper site,2019-05-14,65.7,0.79
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-05-14,59.7,1.95
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-05-14,82.7,2.65
Allequash Wetland near tower,,2019-05-14,379.9,3.76
Allequash Creek Synoptic 1,AC Synoptic 1,2019-05-15,87.7,0.96
Allequash Creek Synoptic 2,AC Synoptic 2,2019-05-15,69.8,1.71
Allequash Creek Synoptic 3,AC Synoptic 3,2019-05-15,76.5,2.97
Allequash Creek Synoptic 4,AC Synoptic 4,2019-05-15,73.9,3.19
"Allequash Creek near Sayner, WI",Allequash upper site,2019-05-20,85.2,0.84
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-05-20,103,1.86
"Allequash Creek near Sayner, WI",Allequash upper site,2019-05-23,77.1,0.72
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-05-23,92.9,2.04
"Allequash Creek near Sayner, WI",Allequash upper site,2019-05-29,68,0.81
"Allequash Creek near Sayner, WI",Allequash upper site,2019-05-29,78.4,0.77
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-05-29,83.2,2.35
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-05-29,96.8,2.2
"Allequash Creek near Sayner, WI",Allequash upper site,2019-06-18,84.7,0.81
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-06-18,113.8,3.5
Allequash Wetland near tower,,2019-06-18,502.4,18.43
Allequash Creek Synoptic 1,AC Synoptic 1,2019-06-19,97.2,1
Allequash Creek Synoptic 2,AC Synoptic 2,2019-06-19,66.6,1.97
Allequash Creek Synoptic 3,AC Synoptic 3,2019-06-19,59.2,2.78
Allequash Creek Synoptic 4,AC Synoptic 4,2019-06-19,65.6,2.72
North Pond Outlet above Allequash Creek,,2019-06-20,6.2,2.53
South Pond Outlet above Allequash Creek,,2019-06-20,139.6,4.29
South Spring 1 above Allequash Creek,,2019-06-20,385,48.64
South Spring 2 above Allequash Creek,,2019-06-20,223.8,7.12
South Spring 3 above Allequash Creek,,2019-06-20,149.1,18.95
"Allequash Creek near Sayner, WI",Allequash upper site,2019-07-16,98.2,0.94
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-07-16,172.9,3.28
Allequash Wetland near tower,,2019-07-16,675.3,87.4
Allequash Creek Synoptic 1,AC Synoptic 1,2019-07-17,82.5,0.82
Allequash Creek Synoptic 2,AC Synoptic 2,2019-07-17,76.2,1.9
Allequash Creek Synoptic 3,AC Synoptic 3,2019-07-17,125.6,3.24
Allequash Creek Synoptic 4,AC Synoptic 4,2019-07-17,178.7,3.63
North Pond Outlet above Allequash Creek,,2019-07-18,63.6,3.25
South Pond Outlet above Allequash Creek,,2019-07-18,218.2,3.47
South Spring 1 above Allequash Creek,,2019-07-18,397.9,31.95
South Spring 2 above Allequash Creek,,2019-07-18,294.1,9.72
South Spring 3 above Allequash Creek,,2019-07-18,250.2,24.53
"Allequash Creek near Sayner, WI",Allequash upper site,2019-08-14,64.5,0.76
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-08-14,120.1,4.12
"Allequash Creek near Sayner, WI",Allequash upper site,2019-08-29,76.8,0.69
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-08-29,115,3.96
"Allequash Creek near Sayner, WI",Allequash upper site,2019-09-03,130.1,0.55
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-09-03,156.6,1.63
"Allequash Creek near Sayner, WI",Allequash upper site,2019-09-25,127.3,0.69
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-09-25,192.2,2.15
"Allequash Creek near Sayner, WI",Allequash upper site,2019-10-02,144.4,0.56
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-10-02,184.9,3.54
Allequash Wetland near tower,,2019-10-02,654.7,33.47
"Allequash Creek near Sayner, WI",Allequash upper site,2019-10-03,NA,NA
North Pond Outlet above Allequash Creek,,2019-10-03,128.5,3.73
South Pond Outlet above Allequash Creek,,2019-10-03,251.9,2.08
South Spring 1 above Allequash Creek,,2019-10-03,231.3,4.45
South Spring 2 above Allequash Creek,,2019-10-03,293.5,13.33
South Spring 3 above Allequash Creek,,2019-10-03,225.4,21.19
Allequash Creek Synoptic 1,AC Synoptic 1,2019-10-04,133.4,0.61
Allequash Creek Synoptic 2,AC Synoptic 2,2019-10-04,127.4,1.28
Allequash Creek Synoptic 3,AC Synoptic 3,2019-10-04,154.9,2.82
Allequash Creek Synoptic 4,AC Synoptic 4,2019-10-04,161.4,2.68
"Allequash Creek near Sayner, WI",Allequash upper site,2019-10-29,77.8,0.61
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-10-29,82.6,3.33
"Allequash Creek near Sayner, WI",Allequash upper site,2019-12-16,141.7,1.1
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2019-12-16,131.7,2.6
"Allequash Creek near Sayner, WI",Allequash upper site,2020-01-27,139.2,1.09
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-01-27,119.8,1.94
"Allequash Creek near Sayner, WI",Allequash upper site,2020-02-24,156.7,1.52
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-02-24,150.1,3.32
"Allequash Creek near Sayner, WI",Allequash upper site,2020-03-17,151.4,1.86
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-03-17,121,3.19
"Allequash Creek near Sayner, WI",Allequash upper site,2020-04-07,93.7,0.97
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-04-07,138,2.21
"Allequash Creek near Sayner, WI",Allequash upper site,2020-04-22,56.6,0.35
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-04-22,59.7,2.32
"Allequash Creek near Sayner, WI",Allequash upper site,2020-04-30,67.1,0.42
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-04-30,73.9,2.15
"Allequash Creek near Sayner, WI",Allequash upper site,2020-06-09,80.9,1
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-06-09,100.8,4.6
"Allequash Creek near Sayner, WI",Allequash upper site,2020-06-10,124.3,1.04
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-06-10,255,2.03
"Allequash Creek near Sayner, WI",Allequash upper site,2020-06-17,102.4,0.57
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-06-17,111,3.63
"Allequash Creek near Sayner, WI",Allequash upper site,2020-07-15,110.3,0.99
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-07-15,117.6,2.95
"Allequash Creek near Sayner, WI",Allequash upper site,2020-08-19,129.6,1.07
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-08-19,127.1,3.54
"Allequash Creek near Sayner, WI",Allequash upper site,2020-09-16,160.5,0.85
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-09-16,172,3.31
"Allequash Creek near Sayner, WI",Allequash upper site,2020-10-20,83.6,0.88
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-10-20,109.6,3.97
"Allequash Creek near Sayner, WI",Allequash upper site,2020-11-12,95.7,0.55
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-11-12,89,2.77
"Allequash Creek near Sayner, WI",Allequash upper site,2020-12-10,151.7,0.98
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2020-12-10,123.1,3.28
"Allequash Creek near Sayner, WI",Allequash upper site,2021-01-12,167.5,1.69
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-01-12,146.1,3.38
"Allequash Creek near Sayner, WI",Allequash upper site,2021-02-19,201.7,2.22
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-02-19,162.1,4.07
"Allequash Creek near Sayner, WI",Allequash upper site,2021-03-17,197.9,1.81
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-03-17,194.4,3.67
"Allequash Creek near Sayner, WI",Allequash upper site,2021-04-26,85.2,0.48
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-04-26,115.8,1.81
"Allequash Creek near Sayner, WI",Allequash upper site,2021-05-28,98.9,1.22
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-05-28,168.9,4.45
"Allequash Creek near Sayner, WI",Allequash upper site,2021-06-11,145.2,1.43
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-06-11,180.9,2.95
"Allequash Creek near Sayner, WI",Allequash upper site,2021-07-13,74,0.89
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-07-13,91.6,2.42
"Allequash Creek near Sayner, WI",Allequash upper site,2021-08-09,101.9,0.65
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-08-09,180.4,1.98
"Allequash Creek near Sayner, WI",Allequash upper site,2021-09-14,128.3,0.87
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-09-14,215.2,2.44
"Allequash Creek near Sayner, WI",Allequash upper site,2021-11-04,68.9,0.8
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",Allequash middle site,2021-11-04,86,2.88
,,,,